0 5 141.44
0 7 172.92
0 19 196.05
0 10 41.56
1 19 197.28
1 14 181.18
1 5 180.34
1 9 145.07
1 7 182.16
1 2 135.37
2 6 142.47
2 19 66.64
2 17 58.62
2 4 101.33
3 8 133.19
3 19 108.55
3 13 85.5
4 16 179.92
4 10 31.72
4 8 200.12
4 12 182.72
4 17 134.7
4 6 220.22
4 18 83.31
4 11 31.82
5 19 206.21
5 7 153.14
6 14 198.39
6 19 128.7
7 18 83.39
7 12 75.59
7 8 110.9
8 9 41.24
8 19 92.04
8 14 178.2
9 14 128.26
9 19 67.03
9 15 129.67
10 16 199.02
10 12 197.57
10 18 127.16
11 14 9.81
11 16 153.35
11 17 116.53
12 17 126.16
12 18 150.38
12 15 160.46
12 19 103.94
13 16 187.01
13 18 122.05
14 15 39.64
15 17 119.77
15 16 152.16
15 19 138.93
16 18 145.29
16 17 128.35
18 19 124.58
